Manuf;Model;Desc;Engine_Capacity;Fuel_Type;Powertrain;Euro_Standard;Diesel_VED_Supplement;Fuel_Cost;Electric_Cost;Total_Cost;Noise_Level
ALPINE;A110;A110 Color Edition DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
ALPINE;A110;A110 GT;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;A110 GT;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;A110 Légende DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,801;£0;£1,801;69.0
ALPINE;A110;A110 Légende DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;69.0
ALPINE;A110;A110 Légende GT 2021 DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;A110 Légende GT 2021 DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;A110 Légende GT DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;69.0
ALPINE;A110;A110 Légende GT DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;69.0
ALPINE;A110;A110 Pure DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,801;£0;£1,801;69.0
ALPINE;A110;A110 Pure DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;69.0
ALPINE;A110;A110 S;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,828;£0;£1,828;72.0
ALPINE;A110;A110 S;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,881;£0;£1,881;72.0
ALPINE;A110;A110 S DFull;1798;Petrol;Internal Combustion Engine (ICE);Euro 6d;False;£1,854;£0;£1,854;72.0
